Rank,Team,Record,Points,Year,W,L,W%
10,Tennessee,31-6,535,2019,31,6,83.78%
11,Michigan,30-7,485,2019,30,7,81.08%
12,Houston,33-4,470,2019,33,4,89.19%
13,Florida State,29-8,409,2019,29,8,78.38%
14,Virginia Tech,26-9,384,2019,26,9,74.29%
15,LSU,28-7,313,2019,28,7,80.00%
16,Kansas,26-10,241,2019,26,10,72.22%
17,Buffalo,32-4,232,2019,32,4,88.89%
18,Wofford,30-5,205,2019,30,5,85.71%
19,Kansas State,25-9,171,2019,25,9,73.53%
20,Villanova,26-10,127,2019,26,10,72.22%
21,Oregon,25-13,117,2019,25,13,65.79%
22,Maryland,23-11,110,2019,23,11,67.65%
23,Nevada,29-5,105,2019,29,5,85.29%
24,Wisconsin,23-11,93,2019,23,11,67.65%
25,Iowa State,23-12,85,2019,23,12,65.71%
1,Villanova,36-4,800,2018,36,4,90.00%
2,Michigan,33-8,756,2018,33,8,80.49%
3,Kansas,31-8,734,2018,31,8,79.49%
4,Duke,29-8,669,2018,29,8,78.38%
5,Virginia,31-3,611,2018,31,3,91.18%
6,Texas Tech,27-10,559,2018,27,10,72.97%
7,Loyola Chicago,32-6,555,2018,32,6,84.21%
8,Xavier,29-6,531,2018,29,6,82.86%
9,Purdue,30-7,500,2018,30,7,81.08%
10,Gonzaga,32-5,476,2018,32,5,86.49%
11,Michigan State,30-5,473,2018,30,5,85.71%
12,Cincinnati,31-5,420,2018,31,5,86.11%
13,West Virginia,26-11,402,2018,26,11,70.27%
14,North Carolina,26-11,394,2018,26,11,70.27%
15,Clemson,25-10,317,2018,25,10,71.43%
16,Tennessee,26-9,287,2018,26,9,74.29%
17,Kentucky,26-11,280,2018,26,11,70.27%
18,Florida State,23-12,250,2018,23,12,65.71%
19,Kansas State,25-12,221,2018,25,12,67.57%
20,Nevada,29-8,201,2018,29,8,78.38%
21,Ohio State,25-9,196,2018,25,9,73.53%
22,Houston,27-8,149,2018,27,8,77.14%
23,Auburn,26-8,108,2018,26,8,76.47%
24,Texas A&M,22-13,107,2018,22,13,62.86%
25,Wichita State,25-8,83,2018,25,8,75.76%
